"code";"classe";"groupe";"division";"industry";"section";"label_fr"
"29.31Z";"29.31";"29.3";"29";"C29";"C";"Fabrication d'équipements électriques et électroniques automobiles"
"29.32Z";"29.32";"29.3";"29";"C29";"C";"Fabrication d'autres équipements automobiles"
"30.11Z";"30.11";"30.1";"30";"C30";"C";"Construction de navires et de structures flottantes"
"30.12Z";"30.12";"30.1";"30";"C30";"C";"Construction de bateaux de plaisance"
"30.20Z";"30.20";"30.2";"30";"C30";"C";"Construction de locomotives et d'autre matériel ferroviaire roulant"
"30.30Z";"30.30";"30.3";"30";"C30";"C";"Construction aéronautique et spatiale"
"30.40Z";"30.40";"30.4";"30";"C30";"C";"Construction de véhicules militaires de combat"
"30.91Z";"30.91";"30.9";"30";"C30";"C";"Fabrication de motocycles"
"30.92Z";"30.92";"30.9";"30";"C30";"C";"Fabrication de bicyclettes et de véhicules pour invalides"
"30.99Z";"30.99";"30.9";"30";"C30";"C";"Fabrication d'autres équipements de transport n.c.a."
"31.01Z";"31.01";"31.0";"31";"C31_32";"C";"Fabrication de meubles de bureau et de magasin"
"31.02Z";"31.02";"31.0";"31";"C31_32";"C";"Fabrication de meubles de cuisine"
"31.03Z";"31.03";"31.0";"31";"C31_32";"C";"Fabrication de matelas"
"31.09A";"31.09";"31.0";"31";"C31_32";"C";"Fabrication de sièges d'ameublement d'intérieur"
"31.09B";"31.09";"31.0";"31";"C31_32";"C";"Fabrication d'autres meubles et industries connexes de l'ameublement"
"32.11Z";"32.11";"32.1";"32";"C31_32";"C";"Frappe de monnaie"
"32.12Z";"32.12";"32.1";"32";"C31_32";"C";"Fabrication d'articles de joaillerie et bijouterie"
"32.13Z";"32.13";"32.1";"32";"C31_32";"C";"Fabrication d'articles de bijouterie fantaisie et articles similaires"
"32.20Z";"32.20";"32.2";"32";"C31_32";"C";"Fabrication d'instruments de musique"
"32.30Z";"32.30";"32.3";"32";"C31_32";"C";"Fabrication d'articles de sport"
