"year","code_ape_a732","aggregate","fpt","accuracy_fpt","unit","libelle_ape_a732"
"2022","47.19B","PRD",96,3.7,"GCO2E_EUR","Autres commerces de détail en magasin non spécialisé"
"2022","47.19B","IC",114,3.7,"GCO2E_EUR","Autres commerces de détail en magasin non spécialisé"
"2022","47.21Z","GVA",82,3.7,"GCO2E_EUR","Commerce de détail de fruits et légumes en magasin spécialisé"
"2022","47.21Z","PRD",97,3.7,"GCO2E_EUR","Commerce de détail de fruits et légumes en magasin spécialisé"
"2022","47.21Z","IC",118,3.7,"GCO2E_EUR","Commerce de détail de fruits et légumes en magasin spécialisé"
"2022","47.22Z","GVA",82,3.7,"GCO2E_EUR","Commerce de détail de viandes et de produits à base de viande en magasin spécialisé"
"2022","47.22Z","IC",118,3.7,"GCO2E_EUR","Commerce de détail de viandes et de produits à base de viande en magasin spécialisé"
"2022","47.22Z","PRD",97,3.7,"GCO2E_EUR","Commerce de détail de viandes et de produits à base de viande en magasin spécialisé"
"2022","47.23Z","IC",118,3.7,"GCO2E_EUR","Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé"
"2022","47.23Z","GVA",82,3.7,"GCO2E_EUR","Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé"
"2022","47.23Z","PRD",97,3.7,"GCO2E_EUR","Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé"
"2022","47.24Z","PRD",97,3.7,"GCO2E_EUR","Commerce de détail de pain, pâtisserie et confiserie en magasin spécialisé"
"2022","47.24Z","GVA",82,3.7,"GCO2E_EUR","Commerce de détail de pain, pâtisserie et confiserie en magasin spécialisé"
"2022","47.24Z","IC",118,3.7,"GCO2E_EUR","Commerce de détail de pain, pâtisserie et confiserie en magasin spécialisé"
"2022","47.25Z","IC",118,3.7,"GCO2E_EUR","Commerce de détail de boissons en magasin spécialisé"
"2022","47.25Z","PRD",97,3.7,"GCO2E_EUR","Commerce de détail de boissons en magasin spécialisé"
"2022","47.25Z","GVA",82,3.7,"GCO2E_EUR","Commerce de détail de boissons en magasin spécialisé"
"2022","47.26Z","GVA",82,3.7,"GCO2E_EUR","Commerce de détail de produits à base de tabac en magasin spécialisé"
"2022","47.26Z","IC",118,3.7,"GCO2E_EUR","Commerce de détail de produits à base de tabac en magasin spécialisé"
"2022","47.26Z","PRD",97,3.7,"GCO2E_EUR","Commerce de détail de produits à base de tabac en magasin spécialisé"
"2022","47.29Z","GVA",82,3.7,"GCO2E_EUR","Autres commerces de détail alimentaires en magasin spécialisé"
"2022","47.29Z","IC",118,3.7,"GCO2E_EUR","Autres commerces de détail alimentaires en magasin spécialisé"
