PRODCOM Code	PRODCOM Label	Tonnage	CAS No. RefSub	Name RefSub	ENV C&L	Class ENV	HH C&L	Class HH
20141245	p-Xylene	 1 568 627 	106-42-3	p-xylene	412	C	312, 332	E
20141190	Unsaturated acyclic hydrocarbons (excluding ethylene, propene, butene, buta-1,3-diene and isoprene)	 1 533 246 	74-86-2	Acetylene	nc	0	nc	0
20133230	Hypochlorites; commercial calcium hypochlorite; chlorites; hypobromites	 1 511 921 	7681-52-9	Sodium hypochlorite	400, 410	A	314 (1B), 318	D
20134280	Phosphates (excluding calcium hydrogenorthophosphate and mono- or disodium phosphate); polyphosphates (excluding sodium triphosphate)	 1 506 676 	7783-28-0	Diammonium hydrogenorthophosphate	nc	0	nc	0
20146211	Acetone	 1 464 078 	67-64-1	Acetone	nc	0	319	E
20144450	Isocyanates	 1 426 979 	9016-87-9	4,4’-diphenylmethanediisocyanate, isomere, homologe and mixtures	nc	0	334	B
20143310	Acrylic acid and its salts and other monocarboxylic acid	 1 425 226 	79-10-7	Acrylic acid	400, 411	B	314 (1A)	C
20153960	Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution (excluding in tablets or similar forms or in packages of a weight of ≤ 10 kg)	 1 353 707 	6484-52-2	Ammonium nitrate	nc	0	319	E
20142210	Methanol (methyl alcohol)	 1 326 000 	67-56-1	Methanol	nc	0	311, 331, 370	D
20141225	Toluene	 1 302 480 	108-88-3	Toluene	nc	0	361	B
20143280	Lauric acid and others; salts and esters	 1 287 314 	143-07-7	Lauric acid	nc	0	318	D
20136300	Hydrogen peroxide	 1 247 447 	7722-84-1	Hydrogen peroxide	412	C	314 (1A)	C
20154100	Superphosphates (excluding potassic, in tablets or similar forms or in packages of a weight of ≤ 10 kg)	 1 245 363 	8011-76-5	Superphosphates	nc	0	318	D
20142310	Ethylene glycol (ethanediol)	 1 216 377 	107-21-1	Ethane-1,2-diol	nc	0	373	D
20146233	Cyclohexanone and methylcyclohexanones	 1 207 214 	108-94-1	Cyclohexanone	nc	0	318	D
20141120	Saturated acyclic hydrocarbons	 1 201 301 	106-97-8	Butane	nc	0	nc	0
20142339	Diols and polyhydric alcohols (excluding ethylene glycol and propylene glycol, D-glucitol)	 1 199 751 	110-63-4	Butane-1,4-diol	nc	0	302, 336	E
20155200	Potassium sulphate (excluding in tablets or similar forms or in packages of a weight of ≤ 10 kg)	 1 161 055 	7778-80-5	Potassium sulfate	nc	0	nc	0
20134151	Sulphates of barium or aluminium	 1 056 498 	7784-31-8	Aluminium sulphate	nc	0	318	D
20144151	Aniline and its salts (excluding derivatives)	 1 036 088 	62-53-3	Aniline	400, 410	A	341	B
20157200	Diammonium hydrogenorthophosphate (diammonium phosphate) (excluding in tablets or similar forms or in packages of a weight of ≤ 10 kg)	 1 023 441 	7783-28-0	Diammonium hydrogenorthophosphate	nc	0	nc	0
20141470	Derivatives of hydrocarbons containing only nitro or only nitroso groups	 958 678 	25321-14-6	Dinitrotoluene	400, 410	A	350	A
20146119	Acyclic aldehydes, without other oxygen function (excluding methanal (formaldehyde), ethanal (acetaldehyde), butanal (butyraldehyde; normal isomer))	 919 784 	123-38-6	Propionaldehyde	nc	0	318	D
20143219	Esters of acetic acid (excluding ethyl acetate)	 918 450 	123-86-4	N-butyl acetate	nc	0	336	E
20144123	Hexamethylenediamine and its salts; ethylenediamine and its salts	 882 467 	124-09-4	Hexamethylenediamine	nc	0	314 (1B)	D
20136270	Double or complex silicates	 800 000 	EC 930-915-9	Silicic acid, aluminum sodium salt	nc	0	nc	0
